"","txt","id","name","symbol","slug"
"165","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2467,"OriginTrail","TRAC","origintrail"
"166","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7653,"Oasis Network","ROSE","oasis-network"
"167","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2320,"Utrust","UTK","utrust"
"168","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2570,"TomoChain","TOMO","tomochain"
"169","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1993,"Kin","KIN","kin"
"170","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2299,"aelf","ELF","aelf"
"171","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",463,"BitShares","BTS","bitshares"
"172","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",6833,"Litentry","LIT","litentry"
"173","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2896,"Hifi Finance","MFT","mainframe"
"174","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4191,"Syntropy","NOIA","syntropy"
"175","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2606,"Wanchain","WAN","wanchain"
"176","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2132,"Power Ledger","POWR","power-ledger"
"177","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3801,"BORA","BORA","bora"
"178","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1637,"iExec RLC","RLC","rlc"
"179","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2642,"CyberVein","CVT","cybervein"
"180","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2588,"Loom Network","LOOM","loom-network"
"181","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",213,"MonaCoin","MONA","monacoin"
"182","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3814,"Celer Network","CELR","celer-network"
"183","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7501,"Wootrade","WOO","wootrade"
"184","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4705,"PAX Gold","PAXG","pax-gold"
"185","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",118,"ReddCoin","RDD","redd"
"186","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3306,"Gemini Dollar","GUSD","gemini-dollar"
"187","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5370,"Hive","HIVE","hive-blockchain"
"188","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7672,"Unifi Protocol DAO","UNFI","unifi-protocol-dao"
"189","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4269,"GateToken","GT","gatetoken"
"190","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5488,"JUST","JST","just"
"191","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2662,"Haven Protocol","XHV","haven-protocol"
"192","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5117,"Origin Protocol","OGN","origin-protocol"
"193","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1789,"Populous","PPT","populous"
"194","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1785,"Gas","GAS","gas"
"195","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1866,"Bytom","BTM","bytom"
"196","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2776,"Travala.com","AVA","travala"
"197","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5221,"Handshake","HNS","handshake"
"198","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4134,"Akropolis","AKRO","akropolis"
"199","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3721,"Huobi Pool Token","HPT","huobi-pool-token"
"200","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3714,"LTO Network","LTO","lto-network"
"201","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5198,"Creditcoin","CTC","creditcoin"
"202","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7096,"Bridge Oracle","BRG","bridge-oracle"
"203","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5482,"Counos X","CCXX","counos-x"
"204","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5015,"HEX","HEX","hex"
"205","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",268,"WhiteCoin","XWC","whitecoin"
"206","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7192,"Wrapped BNB","WBNB","wbnb"
"207","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5804,"DeFiChain","DFI","defichain"
"208","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3085,"INO COIN","INO","ino-coin"
"209","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3144,"ThoreCoin","THR","thorecoin"
"210","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5514,"The Transfer Token","TTT","the-transfer-token"
"211","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3673,"BitMax Token","BTMX","bitmax-token"
"212","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2634,"XinFin Network","XDC","xinfin-network"
